metric,series,value
min,drp_v44,16.73057017352359
max,drp_v44,41.136989909706536
mean,drp_v44,30.006731978039667
median,drp_v44,28.369609738406723
std,drp_v44,5.9327226942992715
p1,drp_v44,18.40962207219907
p5,drp_v44,22.29571253096476
p10,drp_v44,23.614874232833166
p25,drp_v44,25.412017009890583
p50,drp_v44,28.369609738406723
p75,drp_v44,35.75287661078524
p90,drp_v44,38.880646406459135
p95,drp_v44,39.6571740425187
p99,drp_v44,40.85412641303578
min,drp_s4,16.24354734589269
max,drp_s4,48.92449097345018
mean,drp_s4,27.643442295948933
median,drp_s4,27.53001333583829
std,drp_s4,4.593454607061376
p1,drp_s4,16.844393844008618
p5,drp_s4,20.83887479740214
p10,drp_s4,22.041083152930273
p25,drp_s4,24.485168742957125
p50,drp_s4,27.53001333583829
p75,drp_s4,30.868067371530035
p90,drp_s4,33.26346495959411
p95,drp_s4,34.5310563992857
p99,drp_s4,36.55156516159822
min,drp_blend9010,16.6818678907605
max,drp_blend9010,41.77793671252511
mean,drp_blend9010,29.777376090513272
median,drp_blend9010,28.262139141512797
std,drp_blend9010,5.723132170001652
p1,drp_blend9010,18.242285352109835
p5,drp_blend9010,22.772251554951573
p10,drp_blend9010,23.502004536622927
p25,drp_blend9010,25.470586228935698
p50,drp_blend9010,28.262139141512797
p75,drp_blend9010,35.182853201413685
p90,drp_blend9010,38.301316279082656
p95,drp_blend9010,39.06285579575583
p99,drp_blend9010,40.236872653794514
mean_abs_delta,delta_s4_vs_v44,2.937191458391169
max_positive_delta,delta_s4_vs_v44,8.435941767263273
max_negative_delta,delta_s4_vs_v44,-9.504924321268167
std_delta,delta_s4_vs_v44,2.877997613909841
mean_abs_delta,delta_blend_vs_v44,0.3373929009553678
max_positive_delta,delta_blend_vs_v44,1.0609661979145457
max_negative_delta,delta_blend_vs_v44,-1.9961444443620024
std_delta,delta_blend_vs_v44,0.38286325658776166
mean_abs_delta,delta_blend_vs_s4,2.63098275543914
max_positive_delta,delta_blend_vs_s4,8.832817460220166
max_negative_delta,delta_blend_vs_s4,-8.743139539564183
std_delta,delta_blend_vs_s4,2.570441511143938
shape_rows,alignment,200.0
shape_cols,alignment,23.0
corr_s4_vs_v44,alignment,0.8809389310083412
corr_blend_vs_v44,alignment,0.9984882955946788
corr_blend_vs_s4,alignment,0.8986076164051353
mae_s4_vs_v44,alignment,2.937191458391169
mae_blend_vs_v44,alignment,0.3373929009553678
mae_blend_vs_s4,alignment,2.63098275543914
basin_id_coverage_ratio,context,1.0
pet_coverage_ratio,context,1.0
chirps_coverage_ratio,context,1.0
